"generator_index","generator_sample_index","bic_diff_mean","bic_a0_mean","bic_a1_mean","mse_diff_mean","mse_a0_mean","mse_a1_mean","mse_diff_uniform_x_mean","mse_a0_uniform_x_mean","mse_a1_uniform_x_mean","nknots_a0_mean","nknots_a1_mean","nknots_diff_mean","n_mean","bic_diff_median","bic_a0_median","bic_a1_median","mse_diff_median","mse_a0_median","mse_a1_median","mse_diff_uniform_x_median","mse_a0_uniform_x_median","mse_a1_uniform_x_median","nknots_a0_median","nknots_a1_median","nknots_diff_median","n_median","bic_diff_sd","bic_a0_sd","bic_a1_sd","mse_diff_sd","mse_a0_sd","mse_a1_sd","mse_diff_uniform_x_sd","mse_a0_uniform_x_sd","mse_a1_uniform_x_sd","nknots_a0_sd","nknots_a1_sd","nknots_diff_sd","n_sd"
"1","1",0.163687417023699,-162.038371058154,-162.202058475177,-2.24287147482309e-05,0.000542638010696441,0.000565066725444672,-4.38633101058855e-05,0.0013114942919005,0.00135535760200638,0.8975,0.96,-0.0625,100,0,-161.904503439628,-162.222179294783,0,0.000454542652872846,0.000467847752903905,0,0.0008429184083294,0.000847153664652373,1,1,0,100,0.607150557929677,14.0796711935736,14.083020195379,0.000142705921202625,0.000349072180622657,0.000375033649198219,0.000307117404671549,0.00151932637099652,0.00154024052283395,0.638759567021233,0.744840229457665,0.434817681379334,0
"1","2",0.31375561934901,-334.335597503147,-334.649353122496,2.18881688950506e-06,0.000290490609786758,0.000288301792897253,-8.7668198008532e-06,0.000981864033701478,0.000990630853502331,1.1375,1.1525,-0.015,200,0,-333.812601174767,-334.147144481418,0,0.000234676549885086,0.000233464404252986,0,0.000520620089375527,0.000520620089375527,1,1,0,200,0.6875339929273,21.2341534563341,21.2915994714961,4.52867614864667e-05,0.000200958617682816,0.000204377415802515,0.000292380840999067,0.00144240528609414,0.00146609555400693,0.533202129851518,0.556793316224684,0.316267391073822,0
"1","3",0.459728800130708,-509.124038139388,-509.583766939518,1.05433472088342e-06,0.000199957671673339,0.000198903336952455,-2.11078897680945e-05,0.000793431705582903,0.000814539595350997,1.2825,1.265,0.0175,300,0.207031681073914,-508.387160253488,-508.810131297181,0,0.000179232945472041,0.000174914042065162,0,0.000568872870444085,0.000562793394197963,1,1,0,300,0.855759657658538,25.5205540227925,25.618880207633,3.83281621980063e-05,0.000103210806516796,0.000102873102208082,0.000294401552720278,0.000794441451116179,0.000854815291378897,0.488149028150431,0.485142668213489,0.312149552872331,0
"2","1",3.98540046542853,-152.051008897148,-156.036409362577,0.000174135481790958,0.00105242294318792,0.000878287461396961,0.000595926647533817,0.00245995310937958,0.00186402646184576,2.7475,2.7725,-0.025,100,3.02508445984202,-152.421323925493,-156.553038792229,5.96496082017217e-05,0.00097473110406291,0.000772124397297354,7.59649216201777e-05,0.00170868052856281,0.00129460811221943,2,3,0,100,4.91243640316998,14.9520287913258,14.6051376981721,0.000460266688790849,0.000490373244299736,0.000499129120145007,0.00195359648736874,0.00264721091460641,0.00184148109225648,0.914239210126832,0.694225195130431,0.843298809560119,0
"2","2",12.0861892098481,-315.255282776921,-327.341471986769,0.000470914759960931,0.000981828482418365,0.000510913722457435,0.00171222653058884,0.00325394193140259,0.00154171540081376,3.1375,3.0825,0.055,200,10.565215970728,-314.436449158678,-326.174525815121,0.000431042666561165,0.000928331554014567,0.000458642670064275,0.00120002633742605,0.00248238859616155,0.00109081337678306,4,3,0,200,10.3419006711713,21.2907844187023,20.3125213994058,0.000421166421606443,0.000417641565400214,0.00026981192288829,0.00218588619035988,0.00290116906980012,0.00143774926953024,0.975177510992159,0.60132997959598,0.899442879639578,0
"2","3",20.8319352517174,-479.328498075698,-500.160433327416,0.000559847502110811,0.000890422971546679,0.000330575469435868,0.00228449584551087,0.00347064642800999,0.00118615058249912,3.51,3.21,0.3,300,18.3108324320621,-479.903015623799,-498.384075314616,0.000524456798783398,0.000805863275198537,0.000299761630848053,0.00154447081413654,0.00250355020546408,0.000800771346867668,4,3,1,300,14.2309662396302,26.705962112669,24.8304968326203,0.00035124971070151,0.000365422530226851,0.000169359446647799,0.00268061969566101,0.00329115659544816,0.00120864769665001,0.855411785813283,0.481122330329673,0.869995534802588,0
"3","1",1.50494597472744,-157.735234942455,-159.240180917182,-2.18868960910931e-05,0.000649593089072355,0.000671479985163448,-5.1764748379851e-05,0.00125149085254372,0.00130325560092357,1.925,1.6775,0.2475,100,1.30951722014608,-157.18316360624,-159.291091636905,0,0.000551771588705339,0.00057283345605433,0,0.000891448321183081,0.000953593405858217,2,2,0,100,1.92505266136545,14.2236260512752,14.4540885705385,0.000323664002704887,0.000385823539204326,0.000407920336573825,0.000553614209538966,0.00111434021550312,0.00117130176017091,0.636701241696563,0.692598716758947,0.683675566845675,0
"3","2",1.8131839479641,-328.567138001956,-330.38032194992,-2.38436169842685e-06,0.000345405481594794,0.000347789843293221,-4.25767335686621e-05,0.000963777033229225,0.00100635376679789,2.125,1.95,0.175,200,1.64129017418855,-328.461816750186,-330.264884476579,4.01154803819637e-18,0.000303147761282688,0.000298477307925703,1.0842021724855e-19,0.00063827886095524,0.00063485145484588,2,2,0,200,2.17705288688176,19.0266704241551,19.2904256394505,0.000138793557907858,0.000186005107385772,0.000201248603886933,0.000519900120099045,0.00102570251206713,0.00108937662207679,0.435717367177567,0.444966276776872,0.5,0
"3","3",2.23659931237996,-499.965567729931,-502.202167042311,5.37904444708672e-06,0.000264971479334983,0.000259592434887896,5.17442278453826e-06,0.00090244093473255,0.000897266511948012,2.2,2.0325,0.1675,300,2.07926461162731,-498.520291988375,-500.503714243096,1.02186054756759e-17,0.000243557377694161,0.000238833181329142,3.93023287525995e-18,0.000581379779630837,0.000569642104358093,2,2,0,300,2.3936870154945,24.8726391136144,24.9500737854134,0.00010667364605242,0.000110891231807134,0.000138210855711593,0.000484017060639044,0.000931221131849991,0.000939026624686712,0.505607651983592,0.432332080198685,0.624835818034423,0
"4","1",7.7029241710866,-147.616302719533,-155.31922689062,0.000617981957455833,0.0016020317838833,0.00098404982642747,0.00284453223665941,0.00594945854622149,0.00310492630956208,2.5725,2.695,-0.1225,100,3.63300738119207,-147.388988856105,-154.717830917931,0.000176896843705189,0.00127464422117694,0.00087939069768569,0.000483289462509047,0.00352978003496986,0.00199268606385856,2,3,0,100,9.88147116544096,17.158391833999,14.9873595713367,0.0010467857041385,0.00109444852842501,0.000550887048296007,0.00597837327825338,0.00852340509604133,0.00542799744594437,0.886967037897006,0.698709874498568,0.921747142380282,0
"4","2",25.4121980504717,-300.685993575147,-326.098191625619,0.0012023679339388,0.00175784354009948,0.000555475606160685,0.00571108521071073,0.00783095404895756,0.00211986883824684,3.0325,2.9175,0.115,200,22.6543741635129,-300.663122918457,-326.219986182719,0.00111274373074947,0.00172558285191539,0.000530068919023896,0.00457377395218856,0.00645632658003201,0.00154678541289364,3,3,0,200,20.7818429811768,27.5608118404975,20.4258748149447,0.00098688809204432,0.000992141656602043,0.000255556366654482,0.0056685420526742,0.00639183343076239,0.00180783794954619,0.968912135756923,0.459588734099606,0.92407238592877,0
"4","3",41.4401390872366,-455.795938918563,-497.2360780058,0.00139262131877132,0.00180620150262148,0.000413580183850161,0.00763867934154792,0.00948903324196612,0.0018503539004182,3.26,2.9975,0.2625,300,40.1283659715565,-457.044145208048,-495.682166948463,0.00135711534700056,0.00170310698050866,0.000373651161775889,0.00650868615394418,0.00825130587069332,0.00138649143765323,4,3,1,300,28.9330317645643,35.324639076166,24.9372519753169,0.000938300523625525,0.000950750289977327,0.000205153361299938,0.00569394633778872,0.00617528586846129,0.0016433645844914,0.948498351504639,0.350429382158088,0.925058421239852,0
"5","1",138.896895497362,2.40949166746783,-136.487403829895,0.0430800702546728,0.0462373338222364,0.00315726356756363,0.147220563020545,0.217381200036581,0.0701606370160365,3.5175,3.7375,-0.22,100,156.644936555531,27.7726673869719,-140.112685142339,0.0430995274055537,0.0464587890705248,0.00212661891137894,0.139633022824324,0.191131872253214,0.00816360350298129,4,4,0,100,69.1250037893814,73.4160129293174,26.7472127475046,0.0291000703563131,0.0300382855630859,0.00387700246370341,0.157868127561053,0.176820240748328,0.175756456025071,0.791365527740652,0.483920652581585,0.913063092303219,0
"5","2",330.398815144239,60.4301618672797,-269.968653276959,0.0569708147881063,0.061196497301943,0.00422568251383676,0.243866331670107,0.339514238139889,0.0956479064697823,3.8675,3.94,-0.0725,200,353.553513904442,85.0547360694794,-291.950408366618,0.0603456934029571,0.0650857201306147,0.00185063795807359,0.269490524252037,0.339047698396518,0.012588450940377,4,4,0,200,91.4636807379654,86.0613831614875,64.4039799952829,0.0205950130236265,0.0212695577472625,0.00584247529152146,0.182993808034107,0.181775260958415,0.196368493363486,0.464200879081838,0.237784258064866,0.517603645499707,0
"5","3",511.089960956098,106.248901900034,-404.841059056064,0.0613201015153481,0.0660823327792196,0.00476223126387141,0.309161655491377,0.433278410568362,0.124116755076985,3.9525,3.9375,0.015,300,531.329163400072,124.173411465101,-436.141187269981,0.0638249878387858,0.0678423432199141,0.00231279285416739,0.343442176381118,0.397497420080405,0.0225592450440509,4,4,0,300,113.39119284976,91.6088148934591,97.9031483373056,0.0158914850604472,0.0165255935455529,0.00601994860908765,0.24439904797318,0.200599361026186,0.225703710571014,0.283628034854435,0.242364604477963,0.367576906177316,0
